youth_id,age,youth_county,youth_need_tags,resource_id,resource_name,resource_category,resource_county,eligibility_age_min,eligibility_age_max,matched_need_tags,match_score,default_priority,referral_method,website
YP-0003,14,Sussex,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;job_training;paid_work;postsecondary,R007,Delaware 211,Resource Navigation,Statewide,0,99,general_support;housing,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0003,14,Sussex,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;job_training;paid_work;postsecondary,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0003,14,Sussex,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;job_training;paid_work;postsecondary,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0003,14,Sussex,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;job_training;paid_work;postsecondary,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,career,12,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0003,14,Sussex,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;job_training;paid_work;postsecondary,R061,Delaware Parent Resources - Higher Education Guide,Education Navigation,Statewide,14,24,college,11,Low,Website navigation / caseworker support,https://delaware.gov/guides/parent-resources/
YP-0004,19,New Castle,academic_support;career_readiness;case_management;education;financial_literacy;general_support;independent_living;life_skills;transition_support;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;financial_literacy;life_skills,43,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0004,19,New Castle,academic_support;career_readiness;case_management;education;financial_literacy;general_support;independent_living;life_skills;transition_support;young_adults,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management;life_skills;transition_support,33,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0004,19,New Castle,academic_support;career_readiness;case_management;education;financial_literacy;general_support;independent_living;life_skills;transition_support;young_adults,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,life_skills;transition_support,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0004,19,New Castle,academic_support;career_readiness;case_management;education;financial_literacy;general_support;independent_living;life_skills;transition_support;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0004,19,New Castle,academic_support;career_readiness;case_management;education;financial_literacy;general_support;independent_living;life_skills;transition_support;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,independent_living,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0005,13,New Castle,academic_support;career;career_readiness;case_management;community;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;professional_skills;resume;transition_support,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,community;education;employment;mentorship,42,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0005,13,New Castle,academic_support;career;career_readiness;case_management;community;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;professional_skills;resume;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0005,13,New Castle,academic_support;career;career_readiness;case_management;community;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;professional_skills;resume;transition_support,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0005,13,New Castle,academic_support;career;career_readiness;case_management;community;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;professional_skills;resume;transition_support,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,academic_support;career,22,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0005,13,New Castle,academic_support;career;career_readiness;case_management;community;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;professional_skills;resume;transition_support,R046,Junior Achievement of Delaware,Financial Literacy & Career,Statewide,5,18,career_readiness;financial_literacy,22,Medium,School/community program inquiry,https://delaware.ja.org/
YP-0006,16,New Castle,GED;career;case_management;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;paid_work;postsecondary;transition_support,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;employment;financial_literacy;housing;life_skills,63,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0006,16,New Castle,GED;career;case_management;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;paid_work;postsecondary;transition_support,R022,West End Education and Employment Department,Employment & Education,New Castle,16,24,GED;credentials;paid_work;postsecondary,43,High,Program inquiry,https://westendnh.org/programs/academic-education/
YP-0006,16,New Castle,GED;career;case_management;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;paid_work;postsecondary;transition_support,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing;life_skills;transition_support,33,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0006,16,New Castle,GED;career;case_management;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;paid_work;postsecondary;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0006,16,New Castle,GED;career;case_management;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;paid_work;postsecondary;transition_support,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management;life_skills;transition_support,33,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0007,13,New Castle,GED;career;case_management;community;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,community;education;employment;mentorship,42,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0007,13,New Castle,GED;career;case_management;community;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0007,13,New Castle,GED;career;case_management;community;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0007,13,New Castle,GED;career;case_management;community;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,career,12,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0007,13,New Castle,GED;career;case_management;community;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R055,Delaware LGBTQ+ Resources and Organizations,LGBTQ+ Support,Statewide,0,99,education,12,Medium,Resource navigation,https://history.delaware.gov/lgbtq-history/local-lgbtq-resources-and-organizations/
YP-0008,15,Kent,career;career_pathway;education;employment;general_support;job_training;paid_work;postsecondary,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0008,15,Kent,career;career_pathway;education;employment;general_support;job_training;paid_work;postsecondary,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0008,15,Kent,career;career_pathway;education;employment;general_support;job_training;paid_work;postsecondary,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,career,12,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0008,15,Kent,career;career_pathway;education;employment;general_support;job_training;paid_work;postsecondary,R055,Delaware LGBTQ+ Resources and Organizations,LGBTQ+ Support,Statewide,0,99,education,12,Medium,Resource navigation,https://history.delaware.gov/lgbtq-history/local-lgbtq-resources-and-organizations/
YP-0008,15,Kent,career;career_pathway;education;employment;general_support;job_training;paid_work;postsecondary,R042,Mental Health Association in Delaware,Mental Health,Statewide,0,99,education,12,Medium,Program inquiry / referral,https://www.mhainde.org/
YP-0009,18,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary;young_adults,R022,West End Education and Employment Department,Employment & Education,New Castle,16,24,career_pathway;paid_work;postsecondary,33,High,Program inquiry,https://westendnh.org/programs/academic-education/
YP-0009,18,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;employment;housing,33,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0009,18,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,housing;independent_living,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0009,18,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,general_support;housing,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0009,18,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary;young_adults,R004,West End Life Lines Transitional Housing,Housing,Statewide,18,23,case_management;homelessness,23,High,Referral / eligibility screening,https://westendnh.org/programs/life-lines-programs/
YP-0010,18,Sussex,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;employment;financial_literacy;housing;life_skills,53,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0010,18,Sussex,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing;life_skills;mentorship;transition_support,43,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0010,18,Sussex,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management;life_skills;transition_support,33,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0010,18,Sussex,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0010,18,Sussex,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,housing;independent_living,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0011,19,New Castle,academic_support;career_readiness;community;education;general_support;independent_living;mentorship;positive_adult;young_adults,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,community;education;mentorship,32,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0011,19,New Castle,academic_support;career_readiness;community;education;general_support;independent_living;mentorship;positive_adult;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0011,19,New Castle,academic_support;career_readiness;community;education;general_support;independent_living;mentorship;positive_adult;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,independent_living,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0011,19,New Castle,academic_support;career_readiness;community;education;general_support;independent_living;mentorship;positive_adult;young_adults,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,mentorship,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0011,19,New Castle,academic_support;career_readiness;community;education;general_support;independent_living;mentorship;positive_adult;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,education,13,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0012,18,Kent,career;career_pathway;case_management;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;employment;housing,43,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0012,18,Kent,career;career_pathway;case_management;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0012,18,Kent,career;career_pathway;case_management;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,housing;independent_living,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0012,18,Kent,career;career_pathway;case_management;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary;young_adults,R004,West End Life Lines Transitional Housing,Housing,Statewide,18,23,case_management;homelessness,23,High,Referral / eligibility screening,https://westendnh.org/programs/life-lines-programs/
YP-0012,18,Kent,career;career_pathway;case_management;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary;young_adults,R048,Community Legal Aid Society Inc. (CLASI),Legal Aid,Statewide,18,99,housing,13,High,Legal intake / eligibility screening,https://www.declasi.org/
YP-0013,17,Sussex,academic_support;career_readiness;case_management;education;general_support;homelessness;housing,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0013,17,Sussex,academic_support;career_readiness;case_management;education;general_support;homelessness;housing,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;housing,33,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0013,17,Sussex,academic_support;career_readiness;case_management;education;general_support;homelessness;housing,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0013,17,Sussex,academic_support;career_readiness;case_management;education;general_support;homelessness;housing,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management,13,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0013,17,Sussex,academic_support;career_readiness;case_management;education;general_support;homelessness;housing,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,academic_support,12,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0014,17,Kent,career;career_pathway;case_management;education;employment;financial_literacy;general_support;homelessness;housing;job_training;life_skills;paid_work;postsecondary;transition_support,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;employment;financial_literacy;housing;life_skills,63,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0014,17,Kent,career;career_pathway;case_management;education;employment;financial_literacy;general_support;homelessness;housing;job_training;life_skills;paid_work;postsecondary;transition_support,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing;life_skills;transition_support,33,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0014,17,Kent,career;career_pathway;case_management;education;employment;financial_literacy;general_support;homelessness;housing;job_training;life_skills;paid_work;postsecondary;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0014,17,Kent,career;career_pathway;case_management;education;employment;financial_literacy;general_support;homelessness;housing;job_training;life_skills;paid_work;postsecondary;transition_support,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management;life_skills;transition_support,33,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0014,17,Kent,career;career_pathway;case_management;education;employment;financial_literacy;general_support;homelessness;housing;job_training;life_skills;paid_work;postsecondary;transition_support,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0015,17,Sussex,GED;career;case_management;credentials;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;employment;housing,43,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0015,17,Sussex,GED;career;case_management;credentials;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0015,17,Sussex,GED;career;case_management;credentials;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0015,17,Sussex,GED;career;case_management;credentials;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0015,17,Sussex,GED;career;case_management;credentials;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work;postsecondary,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management,13,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0016,13,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;independent_living;postsecondary;professional_skills;resume,R007,Delaware 211,Resource Navigation,Statewide,0,99,general_support;housing,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0016,13,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;independent_living;postsecondary;professional_skills;resume,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,career,12,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0016,13,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;independent_living;postsecondary;professional_skills;resume,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,employment,12,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0017,15,New Castle,career;career_pathway;case_management;community;education;employment;financial_literacy;general_support;homelessness;housing;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing;life_skills;mentorship;transition_support,43,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0017,15,New Castle,career;career_pathway;case_management;community;education;employment;financial_literacy;general_support;homelessness;housing;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,community;education;employment;mentorship,42,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0017,15,New Castle,career;career_pathway;case_management;community;education;employment;financial_literacy;general_support;homelessness;housing;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0017,15,New Castle,career;career_pathway;case_management;community;education;employment;financial_literacy;general_support;homelessness;housing;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0017,15,New Castle,career;career_pathway;case_management;community;education;employment;financial_literacy;general_support;homelessness;housing;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0018,14,New Castle,career_pathway;case_management;college;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;postsecondary;transition_support,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing;life_skills;transition_support,33,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0018,14,New Castle,career_pathway;case_management;college;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;postsecondary;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,general_support;housing,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0018,14,New Castle,career_pathway;case_management;college;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;postsecondary;transition_support,R027,Independent Resources Inc. Youth Transition Life Skills Program,Disability / Life Skills,Statewide,14,28,life_skills,12,Medium,Program inquiry / referral,https://www.iri-delaware.org/iri/25-transition-life-skills-program/
YP-0018,14,New Castle,career_pathway;case_management;college;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;postsecondary;transition_support,R046,Junior Achievement of Delaware,Financial Literacy & Career,Statewide,5,18,financial_literacy,12,Medium,School/community program inquiry,https://delaware.ja.org/
YP-0018,14,New Castle,career_pathway;case_management;college;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;postsecondary;transition_support,R061,Delaware Parent Resources - Higher Education Guide,Education Navigation,Statewide,14,24,college,11,Low,Website navigation / caseworker support,https://delaware.gov/guides/parent-resources/
YP-0019,15,New Castle,academic_support;career;career_readiness;case_management;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0019,15,New Castle,academic_support;career;career_readiness;case_management;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,academic_support;career,22,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0019,15,New Castle,academic_support;career;career_readiness;case_management;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,education;employment,22,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0019,15,New Castle,academic_support;career;career_readiness;case_management;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0019,15,New Castle,academic_support;career;career_readiness;case_management;education;employment;general_support;homelessness;housing;independent_living;job_training;paid_work,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0020,13,New Castle,academic_support;career_readiness;case_management;education;general_support;homelessness;housing;independent_living,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0020,13,New Castle,academic_support;career_readiness;case_management;education;general_support;homelessness;housing;independent_living,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,academic_support,12,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
